# RA AGN survey catalog ver 0.15
# Created on 2021-04-16 09:59:31 UTC
#
# Table columns description:
#  1. source   : B1950 source name
#  2. j2000    : J2000 source name
#  3. exper    : Experement code
#  4. date     : Experiment nominal start date
#  5. time     : Experiment nominal start time
#  6. band     : Frequency band code
#  7. polar    : Polarization
#  8. sta1     : First station name
#  9. sta2     : Second station name
# 10. elev1    : Source elevation at station one
# 11. elev2    : Source elevation at station two
# 12. snr      : Mean value of SNR
# 13. base_ml  : Baseline projection in Mega lambda
# 14. base_cm  : Baseline projection in centimeters
# 15. pa       : Baseline position angle in degrees
# 16. ampl     : Average correlated flux density in Jy
# 17. ampl_err : Correlated flux density error in Jy
# 18. coeff    : Flux density correction coefficient for coherent losses compensation
# 19. solint   : Mean value of the fringe fitting solution interval in seconds
# 20. data_len : Total data length used for correlated flux density calculation in seconds
#
#  Detection status of each observation is determined by signal-to-noise ratio
#  (SNR) and Probability of False Detection (PFD).
#
#    * SNR >= SNR(PFD=1e-4): "Yes"
#    * SNR >= SNR(PFD=1e-3) and delay < 0.5 ms and rate < 1e-12 s/s : "Yes"
#    * SNR(PFD=1e-2) <= SNR < SNR(PFD=1e-4): "Uncertain"
#    * SNR < SNR(PFD=1e-2): "No"
#
#  For RA AGN survey catalog only observations with status "Yes" is used.
#
#  Changes:
#  * 0.10
#    - Initial version.
#  * 0.11
#    - Split date-time column to two separate columns.
#  * 0.12
#    - PIMA 2.25: massive changes in handling bandpass computation, bandpass
#      normalization and re-normalization.
#  * 0.13
#    - Add column with J2000 source name.
#  * 0.14
#    - New bandpass calibration parameters: only phase solution with linear
#      interpolation.
#  * 0.15
#    - Add column names.
#
#
  source      j2000    exper       date     time band polar     sta1     sta2 elev1 elev2     snr base_ml   base_cm     pa   ampl ampl_err  coeff  solint  data_len
0657+172 J0700+1709 rags28ar 2018-02-17 17:30:05    L    RR RADIO-AS  HARTRAO   0.0  39.4    62.1    42.8 7.761e+08  155.7 0.5187   0.0069 1.0000     119      1186
0657+172 J0700+1709 rags28ar 2018-02-17 17:30:00    C    RR IRBENE16 MEDICINA  42.6  44.5   179.7    25.8 1.602e+08 -128.6 0.3685   0.0100 1.0000      60      1193
0657+172 J0700+1709 rags28ar 2018-02-17 17:30:00    C    RR IRBENE16     NOTO  42.6  49.6   148.2    36.6 2.279e+08 -141.8 0.4103   0.0113 1.0000      60      1192
0657+172 J0700+1709 rags28ar 2018-02-17 17:30:00    C    RR MEDICINA     NOTO  44.5  49.6   361.1    13.0 8.070e+07 -168.7 0.5790   0.0060 1.0000      60      1192
0657+172 J0700+1709 rags28ar 2018-02-17 17:30:00    C    LL IRBENE16 MEDICINA  42.6  44.5   229.8    25.8 1.602e+08 -128.6 0.4396   0.0043 1.0000      60      1193
0657+172 J0700+1709 rags28ar 2018-02-17 17:30:00    C    LL IRBENE16     NOTO  42.6  49.6   179.5    36.6 2.279e+08 -141.8 0.5101   0.0060 1.0000      60      1192
0657+172 J0700+1709 rags28ar 2018-02-17 17:30:00    C    LL MEDICINA     NOTO  44.5  49.6   330.7    13.0 8.070e+07 -168.7 0.5439   0.0046 1.0000      60      1192
0657+172 J0700+1709 rags28ar 2018-02-17 17:30:00    C    LL RADIO-AS IRBENE16   0.0  42.6    15.4    67.2 4.177e+08   71.2 0.3093   0.0156 1.0004     133      1063
0657+172 J0700+1709 rags28ar 2018-02-17 17:30:00    C    LL RADIO-AS MEDICINA   0.0  44.5    33.8    43.8 2.724e+08   82.6 0.3737   0.0088 1.0004     133      1195
0657+172 J0700+1709 rags28ar 2018-02-17 17:30:00    C    LL RADIO-AS     NOTO   0.0  49.6    25.4    41.5 2.581e+08   99.9 0.4152   0.0129 1.0004     133      1194
0657+172 J0700+1709 rags28as 2018-02-18 01:30:04    L    RR GBT-VLBA WSTRB-07  65.2  24.5   128.3    29.6 5.368e+08   66.4 0.6608   0.0373 1.0000      58      1163
0657+172 J0700+1709 rags28as 2018-02-18 01:30:04    L    RR RADIO-AS GBT-VLBA   0.0  65.2    66.3    77.5 1.407e+09  -23.6 0.7047   0.0547 1.0000     117      1174
0657+172 J0700+1709 rags28as 2018-02-18 01:30:04    L    RR RADIO-AS WSTRB-07   0.0  24.5    12.7    82.9 1.504e+09   -2.7 0.1185   0.0077 1.0067     298      1193
