# RA AGN survey nondetections table format ver 1.0
# Created at 2021-05-12 09:56:37 UTC
#
# Table columns description:
#  1. b1950      : B1950 source name
#  2. j2000      : J2000 source name
#  3. exper_name : Experiment code
#  4. band       : Frequency band code
#  5. polar      : Polarization
#  6. sta        : IVS name of ground station
#  7. start_time : Scan start time (UTC)
#  8. solint     : Fringe fitting solution interval [scan length] (s)
#  9. base_ed    : Baseline projection in Earth diameters
# 10. base_ml    : Baseline projection in Mega lambda
# 11. pa         : Baseline position angle (degrees)
# 12. elev       : Source elevation at ground station (degrees)
# 13. snr        : Signal-to-Noise Ratio from PIMA
# 14. ampl       : Raw (uncalibrated) amplitude from PIMA
# 15. snr_det    : SNR corresponding to the probability of false detection PFD=1e-4
# 16. pfd        : Probability of False Detection for measured SNR
# 17. sefd       : System Equivalent Flux Density of the baseline (Jy)
# 18. upper_lim  : Correlated flux density upper limit (Jy)
#
# upper_lim = ampl * sefd * (snr_det / snr)
#
   b1950      j2000 exper_name band polar      sta          start_time solint base_ed base_ml     pa elev  snr     ampl  snr_det     pfd   sefd upper_lim
0657+172 J0700+1709   rags28au    C    LL IRBENE16 2018-02-18T15:20:00   1200     3.5   717.3  -33.5 27.8 5.59 3.36e-05     6.85 5.6e-01 2875.0     0.118
0657+172 J0700+1709   rags28au    C    LL     NOTO 2018-02-18T15:20:01   1199     3.5   713.3  -36.5 24.6 5.50 3.32e-05     6.85 7.6e-01 2042.0     0.084
0657+172 J0700+1709   rags28au    C    LL MEDICINA 2018-02-18T15:20:01   1198     3.5   718.7  -35.5 22.4 5.56 3.35e-05     6.85 6.3e-01 2069.4     0.085
0657+172 J0700+1709   rags28av    C    LL IRBENE16 2018-02-18T17:26:00   1200     3.7   764.6  -33.0 42.6 5.45 3.27e-05     6.85 8.6e-01 2625.6     0.108
0657+172 J0700+1709   rags28av    C    LL     NOTO 2018-02-18T17:26:01   1198     3.7   753.6  -35.6 49.5 5.62 3.37e-05     6.85 4.9e-01 1874.5     0.077
0657+172 J0700+1709   rags28av    C    LL MEDICINA 2018-02-18T17:26:01   1198     3.7   762.6  -34.9 44.5 5.45 3.29e-05     6.85 8.6e-01 2129.4     0.088
0657+172 J0700+1709   rags28az    L    LL    TORUN 2018-02-20T17:18:02   1188     9.5   663.9  -37.2 44.1 5.79 4.80e-05     6.89 2.5e-01  953.9     0.054
0657+172 J0700+1709   rags28az    L    LL WSTRB-07 2018-02-20T17:18:05   1194     9.5   666.6  -37.4 38.0 5.70 4.08e-05     6.89 4.1e-01 1448.3     0.071
0657+172 J0700+1709   rags28az    L    RR    TORUN 2018-02-20T17:18:02   1188     9.5   663.9  -37.2 44.1 5.55 3.30e-05     6.89 7.5e-01  820.9     0.034
0657+172 J0700+1709   rags28az    L    RR WSTRB-07 2018-02-20T17:18:05   1194     9.5   666.6  -37.4 38.0 6.13 4.35e-05     6.89 2.8e-02 1603.2     0.078
0657+172 J0700+1709   rags28ba    C    LL IRBENE16 2018-02-21T01:18:00   1200     9.9  2022.4  -35.1 16.0 5.60 3.36e-05     6.85 5.3e-01 2774.1     0.114
0657+172 J0700+1709   rags28ba    C    LL MEDICINA 2018-02-21T01:18:01   1198     9.8  1998.2  -35.0 21.2 5.71 3.67e-05     6.85 3.1e-01 1735.6     0.076
0657+172 J0700+1709   rags28ba    L    RR GBT-VLBA 2018-02-21T01:18:20   1180    10.0   700.8  -37.6 65.2 5.66 3.44e-05     6.89 4.9e-01  161.9     0.007
0657+172 J0700+1709   rags28bb    L    RR EFLSBERG 2018-02-21T17:14:00   1200    11.2   789.6  -38.2 39.1 5.73 5.78e-05     6.89 3.5e-01  224.3     0.016
0657+172 J0700+1709   rags28bb    L    RR   BADARY 2018-02-21T17:14:01   1198    11.0   770.0  -36.3 39.4 5.57 3.32e-05     6.89 7.0e-01  929.5     0.038
0657+172 J0700+1709   rags28bc    L    RR GBT-VLBA 2018-02-22T01:14:20   1180    11.5   804.9  -38.3 65.1 5.68 3.44e-05     6.89 4.5e-01  161.8     0.007
0657+172 J0700+1709   rags28bd    C    LL IRBENE16 2018-03-23T17:30:00   1200     1.7   353.9   63.2 49.6 5.56 3.35e-05     6.85 6.3e-01 2340.1     0.097
0657+172 J0700+1709   rags28bd    C    LL  HARTRAO 2018-03-23T17:30:02   1198     1.6   326.3   85.9 46.6 5.90 8.16e-05     6.85 1.0e-01 2817.7     0.267
0657+172 J0700+1709   rags28bd    C    LL     NOTO 2018-03-23T17:30:02   1198     1.6   331.8   67.3 69.4 5.36 3.18e-05     6.85 9.7e-01 2382.1     0.097
0657+172 J0700+1709   rags28bf    C    LL IRBENE16 2018-03-24T11:30:00   1200     3.1   642.9  -11.1 14.9 5.59 3.36e-05     6.85 5.6e-01 2826.9     0.116
0657+172 J0700+1709   rags28bf    C    LL    TORUN 2018-03-24T11:30:02   1188     3.1   640.9  -11.7 12.3 5.78 5.81e-05     6.85 2.1e-01  564.4     0.039
0657+172 J0700+1709   rags28bg    C    LL IRBENE16 2018-03-24T14:30:00   1200     3.5   708.6  -14.0 38.2 5.70 3.71e-05     6.85 3.3e-01 2434.6     0.109
0657+172 J0700+1709   rags28bg    C    LL  HARTRAO 2018-03-24T14:30:03   1197     2.9   584.3  -19.0 33.3 5.77 9.04e-05     6.85 2.2e-01 2976.9     0.319
0657+172 J0700+1709   rags28bh    C    LL IRBENE16 2018-03-24T17:26:00   1200     3.8   772.7  -14.7 49.6 5.44 3.27e-05     6.85 8.8e-01 2385.0     0.098
0657+172 J0700+1709   rags28bh    C    LL  HARTRAO 2018-03-24T17:26:02   1198     3.1   639.1  -16.9 46.6 5.68 3.44e-05     6.85 3.7e-01 2823.3     0.117
0657+172 J0700+1709   rags28bj    C    LL IRBENE16 2018-03-25T13:26:00   1200     6.4  1310.7  -29.7 30.9 5.85 8.37e-05     6.85 1.4e-01 2486.1     0.244
0657+172 J0700+1709   rags28bj    C    LL  HARTRAO 2018-03-25T13:26:04   1196     5.9  1211.5  -33.9 22.8 5.59 3.38e-05     6.85 5.6e-01 3182.9     0.132
0657+172 J0700+1709   rags28bk    C    LL IRBENE16 2018-03-25T17:22:00   1200     6.7  1372.3  -29.5 49.6 5.43 3.28e-05     6.85 8.9e-01 2351.6     0.097
0657+172 J0700+1709   rags28bk    C    LL  HARTRAO 2018-03-25T17:22:03   1197     6.1  1250.5  -32.2 46.6 5.41 3.28e-05     6.85 9.2e-01 2775.0     0.115
0657+172 J0700+1709   rags28bl    C    LL EFLSBERG 2018-03-25T22:22:00   1200     7.1  1454.4  -29.2 31.8 5.65 3.33e-05     6.85 4.3e-01  505.6     0.020
0657+172 J0700+1709   rags28bl    C    LL IRBENE16 2018-03-25T22:22:00   1200     7.2  1467.0  -29.1 22.2 5.59 3.35e-05     6.85 5.6e-01 2692.1     0.111
0657+172 J0700+1709   rags28bm    C    LL IRBENE16 2018-03-26T13:22:00   1200     8.9  1813.4  -36.2 30.8 5.54 3.35e-05     6.85 6.7e-01 2404.1     0.100
0657+172 J0700+1709   rags28bm    C    LL  HARTRAO 2018-03-26T13:22:02   1198     8.4  1724.6  -39.6 22.8 5.77 9.55e-05     6.85 2.2e-01 2969.3     0.337
0657+172 J0700+1709   rags28bm    L    RR EFLSBERG 2018-03-26T13:22:00   1200     8.9   627.5  -36.7 23.3 5.75 4.00e-05     6.89 3.1e-01  250.7     0.012
0657+172 J0700+1709   rags28bm    L    RR    TORUN 2018-03-26T13:22:02   1185     8.9   625.7  -36.5 30.2 5.61 3.36e-05     6.89 6.1e-01  836.1     0.035
0657+172 J0700+1709   rags28bm    L    RR WSTRB-07 2018-03-26T13:22:05   1194     8.9   627.7  -36.6 23.1 5.78 8.94e-05     6.89 2.7e-01 1411.4     0.150
0657+172 J0700+1709   rags28bn    L    RR EFLSBERG 2018-03-26T17:18:00   1200     9.1   638.1  -36.6 54.6 5.86 9.92e-05     6.89 1.7e-01  218.1     0.025
0657+172 J0700+1709   rags28bn    L    RR    TORUN 2018-03-26T17:18:02   1187     9.1   636.3  -36.3 54.0 5.75 5.15e-05     6.89 3.1e-01  815.7     0.050
0657+172 J0700+1709   rags28bn    L    RR WSTRB-07 2018-03-26T17:18:05   1194     9.1   639.0  -36.6 52.3 6.06 1.05e-04     6.89 4.5e-02 1315.3     0.156
0657+172 J0700+1709   rags28bn    C    LL IRBENE16 2018-03-26T17:18:00   1200     9.0  1847.7  -36.1 49.6 5.60 3.37e-05     6.85 5.3e-01 2377.0     0.098
0657+172 J0700+1709   rags28bn    C    LL  HARTRAO 2018-03-26T17:18:02   1198     8.5  1733.5  -38.4 46.6 5.80 5.24e-05     6.85 1.9e-01 2766.1     0.171
0657+172 J0700+1709   rags28bo    C    LL EFLSBERG 2018-03-26T22:18:00   1200     9.3  1895.3  -35.8 31.8 5.69 3.34e-05     6.85 3.5e-01  570.4     0.023
0657+172 J0700+1709   rags28bo    C    LL IRBENE16 2018-03-26T22:18:00   1200     9.3  1907.5  -35.7 22.2 5.73 1.29e-04     6.85 2.8e-01 2701.4     0.417
0657+172 J0700+1709   rags28bo    C    LL YEBES40M 2018-03-26T22:18:00   1200     9.2  1879.5  -36.0 40.8 5.93 9.60e-05     6.85 8.3e-02 1442.5     0.160
0657+172 J0700+1709   rags28bo    C    LL  SVETLOE 2018-03-26T22:18:01   1199     9.3  1913.4  -35.6 18.1 5.65 3.34e-05     6.85 4.3e-01 1553.6     0.063
0657+172 J0700+1709   rags28bo    L    RR  ARECIBO 2018-03-26T22:18:01   1187     9.3   653.0  -38.9 77.4 5.46 3.27e-05     6.89 9.1e-01  142.8     0.006
0657+172 J0700+1709   rags28bo    L    RR    TORUN 2018-03-26T22:18:02   1187     9.3   655.2  -35.6 24.3 5.49 3.32e-05     6.89 8.7e-01  921.2     0.038
0657+172 J0700+1709   rags28bo    L    RR WSTRB-07 2018-03-26T22:18:05   1194     9.3   655.2  -35.8 31.4 6.46 9.36e-05     6.89 2.7e-03  956.7     0.096
0657+172 J0700+1709   rags28bo    L    RR GBT-VLBA 2018-03-26T22:18:20   1180     9.5   665.8  -38.5 58.7 5.85 4.15e-05     6.89 1.8e-01  170.8     0.008
0657+172 J0700+1709   rags28bq    C    LL IRBENE16 2018-03-27T22:14:00   1200    10.8  2212.5  -40.6 22.2 5.63 3.38e-05     6.85 4.7e-01 2756.2     0.113
0657+172 J0700+1709   rags28bq    C    LL  ARECIBO 2018-03-27T22:14:01   1188    10.8  2207.1  -43.4 77.3 5.52 3.33e-05     6.85 7.2e-01  257.8     0.011
0657+172 J0700+1709   rags28br    C    LL YEBES40M 2018-03-28T17:10:00   1200    11.7  2386.8  -46.2 58.3 5.66 3.42e-05     6.85 4.0e-01 1405.6     0.058
0657+172 J0700+1709   rags28br    C    LL  HARTRAO 2018-03-28T17:10:03   1197    11.1  2278.9  -47.5 46.6 5.47 3.32e-05     6.85 8.3e-01 2773.0     0.115
0657+172 J0700+1709   rags28br    L    RR    TORUN 2018-03-28T17:10:02   1187    11.7   820.2  -45.4 53.9 5.60 3.37e-05     6.89 6.3e-01  794.4     0.033
0657+172 J0700+1709   rags28br    L    RR ZELENCHK 2018-03-28T17:10:02   1198    11.5   810.0  -45.1 58.5 5.64 3.36e-05     6.89 5.4e-01  923.2     0.038
0657+172 J0700+1709   rags28bs    L    RR  ARECIBO 2018-03-28T22:10:01   1187    11.7   818.2  -47.6 77.3 5.69 3.41e-05     6.89 4.3e-01  147.1     0.006
0657+172 J0700+1709   rags28bs    L    RR    TORUN 2018-03-28T22:10:02   1187    11.6   814.6  -45.0 24.3 5.66 3.40e-05     6.89 4.9e-01  914.7     0.038
0657+172 J0700+1709   rags28bs    L    RR GBT-VLBA 2018-03-28T22:10:20   1180    11.8   830.2  -47.1 58.7 5.92 7.46e-05     6.89 1.1e-01  173.8     0.015
0657+172 J0700+1709   rags28bt    L    RR   BADARY 2018-03-29T17:06:01   1198    11.5   809.6  -48.2 19.2 5.71 7.51e-05     6.89 3.9e-01 1159.2     0.105
0657+172 J0700+1709   rags28bt    L    RR    TORUN 2018-03-29T17:06:02   1186    11.7   823.7  -49.5 53.9 6.03 1.03e-04     6.89 5.6e-02  343.2     0.040
0657+172 J0700+1709   rags28bt    C    LL IRBENE16 2018-03-29T17:06:00   1200    11.7  2389.6  -49.4 49.6 5.85 1.21e-04     6.85 1.4e-01 2330.7     0.331
0657+172 J0700+1709   rags28bt    C    LL     NOTO 2018-03-29T17:06:01   1199    11.6  2376.6  -50.1 69.4 5.63 3.33e-05     6.85 4.7e-01 3017.1     0.122
0657+172 J0700+1709   rags28bt    C    LL  HARTRAO 2018-03-29T17:06:02   1198    11.2  2295.8  -51.8 46.6 5.55 3.35e-05     6.85 6.5e-01 2756.1     0.114
0657+172 J0700+1709   rags28bt    C    LL MEDICINA 2018-03-29T17:06:02   1198    11.7  2387.2  -49.9 61.3 5.56 3.35e-05     6.85 6.3e-01 1466.6     0.061
0657+172 J0700+1709   rags28bu    C    LL IRBENE16 2018-03-29T22:06:00   1200    11.4  2327.3  -49.2 22.2 5.34 3.22e-05     6.85 9.8e-01 2677.6     0.111
0657+172 J0700+1709   rags28bu    C    LL  ARECIBO 2018-03-29T22:06:01   1188    11.4  2337.7  -51.8 77.3 5.83 8.57e-05     6.85 1.6e-01  323.4     0.033
0657+172 J0700+1709   rags28bu    C    LL MEDICINA 2018-03-29T22:06:01   1198    11.3  2304.9  -49.3 29.5 6.02 6.47e-05     6.85 4.5e-02 1681.7     0.124
0657+172 J0700+1709   rags28bu    C    LL     NOTO 2018-03-29T22:06:02   1197    11.2  2291.0  -49.3 27.2 5.84 4.09e-05     6.85 1.5e-01 3194.4     0.153
0657+172 J0700+1709   rags28bu    L    RR  SVETLOE 2018-03-29T22:06:01   1198    11.5   804.7  -49.1 18.2 5.59 3.33e-05     6.89 6.6e-01  877.7     0.036
0657+172 J0700+1709   rags28bu    L    RR    TORUN 2018-03-29T22:06:02   1186    11.4   800.0  -49.2 24.4 5.67 3.39e-05     6.89 4.7e-01  395.9     0.016
0657+172 J0700+1709   rags28bu    L    RR WSTRB-07 2018-03-29T22:06:05   1194    11.4   800.5  -49.3 31.5 5.78 5.05e-05     6.89 2.7e-01 1320.9     0.080
0657+172 J0700+1709   rags28bu    L    RR GBT-VLBA 2018-03-29T22:06:20   1180    11.6   817.8  -51.3 58.7 5.68 3.47e-05     6.89 4.5e-01  167.8     0.007
2209+236 J2212+2355   rags28ae    C    LL IRBENE32 2017-11-15T17:56:01   1198    12.9  2652.9 -138.2 55.3 5.32 3.13e-05     6.85 9.9e-01 1419.0     0.057
2209+236 J2212+2355   rags28ae    C    LL  HARTRAO 2017-11-15T17:56:02   1197    13.4  2742.9 -140.3 37.0 5.51 3.25e-05     6.85 7.4e-01 2865.3     0.116
2209+236 J2212+2355   rags28ae    C    LL     NOTO 2017-11-15T17:56:02   1197    13.1  2681.1 -138.6 76.2 5.79 9.15e-05     6.85 2.0e-01 2222.4     0.241
2209+236 J2212+2355   rags28af    C    LL IRBENE32 2017-11-15T19:56:01   1198    13.4  2751.1 -138.0 44.7 5.50 3.23e-05     6.85 7.6e-01 1487.6     0.060
2209+236 J2212+2355   rags28af    C    LL  HARTRAO 2017-11-15T19:56:02   1197    13.8  2827.1 -140.2 21.5 5.73 4.25e-05     6.85 2.8e-01 3212.9     0.163
2209+236 J2212+2355   rags28af    C    LL     NOTO 2017-11-15T19:56:02   1197    13.5  2769.0 -138.6 56.8 5.63 3.34e-05     6.85 4.7e-01 2113.9     0.086
2209+236 J2212+2355   rags28ag    C    LL IRBENE32 2017-11-15T21:56:00   1183    13.9  2842.6 -137.5 29.2 5.76 5.12e-05     6.85 2.4e-01 1558.3     0.095
2209+236 J2212+2355   rags28ag    C    LL EFLSBERG 2017-11-15T21:56:00   1199    13.9  2851.4 -137.8 38.6 5.73 8.97e-05     6.85 2.8e-01  514.9     0.055
2209+236 J2212+2355   rags28ag    C    LL     NOTO 2017-11-15T21:56:02   1197    13.9  2849.8 -138.3 32.8 5.57 3.30e-05     6.85 6.0e-01 2188.2     0.089
2209+236 J2212+2355   rags28ah    C    LL EFLSBERG 2017-11-15T23:56:01   1198    14.3  2934.8 -137.2 19.6 5.45 3.20e-05     6.85 8.6e-01  607.8     0.024
